,BA_per,A_HR_per,HBP_per,HRH_per,ISO_per,SLG_per,OBP_per,XBH_diff,TB_per,TOB_per,OPS_per,IP_per,FIP_per,BB9_per,K9_per,GBF_per,ERA_per,DICE_per,HR9_per,WHIP_per,KBB_per,home_team_wins
3115,-12.129,-11.585,43.192,20.08,8.687,-3.519,-6.829,5.882,-8.152,-10.728,-4.947,-2.069,11.731,7.035,1.01,-0.029,19.72,1.801,5.032,6.253,41.333,0
3116,11.183,7.866,-63.99,-22.21,-2.865,5.842,8.171,7.023,8.301,10.934,6.857,1.886,-17.876,1.549,14.548,-0.294,7.847,-11.83,5.418,2.874,42.881,0
3117,3.043,-73.614,60.01,40.593,33.756,14.873,5.003,35.185,21.767,14.757,10.527,17.055,17.433,-31.263,-34.361,0.249,-8.209,-7.289,-16.243,-27.123,45.794,1
3118,-9.272,46.17,0.01,-70.0,-70.226,-28.32,-14.585,-81.25,-38.14,-27.087,-22.095,-1.114,2198.666,-11.25,12.905,-0.392,-48.484,-49.084,-236.222,-32.474,56.25,1
3119,-0.288,-66.278,66.677,40.032,35.091,14.039,6.544,30.887,12.95,8.773,10.83,2.603,-20.5,-47.518,-6.955,-0.136,21.166,-0.912,6.17,-31.668,58.212,0
3120,-7.501,-105.922,3.343,54.828,27.625,6.596,-1.701,12.451,7.611,0.898,2.983,-5.01,60.096,-7.208,2.443,0.286,3.394,26.052,46.861,8.889,46.856,1
3121,-4.68,-1.709,3.714,6.078,0.652,-2.681,-4.592,-4.724,-7.558,-10.527,-3.498,0.206,-15.521,-3.922,16.418,-0.203,-32.887,0.31,6.458,-1.055,50.913,1
3122,6.243,21.336,-199.99,-35.591,-19.708,-4.266,6.14,6.154,11.429,21.196,0.123,12.01,-170.105,-27.005,18.964,0.227,3.297,-41.138,-83.346,-35.361,65.517,1
3123,-5.217,16.663,-18.509,-14.042,-27.956,-13.073,-6.688,-42.795,-20.024,-14.716,-10.243,8.478,-159.545,-64.67,7.461,0.2,-51.194,-24.075,-32.301,-55.657,59.316,0
3124,6.218,-40.583,27.093,24.149,10.028,7.582,5.992,4.815,12.082,10.536,6.875,-0.755,3.967,10.472,2.906,-0.043,32.919,-10.835,-4.056,7.354,33.491,0
3125,-13.282,26.546,0.01,-20.172,-37.053,-21.759,-8.854,-43.902,-26.692,-12.555,-15.719,4.177,100.911,12.128,-41.344,-0.332,39.24,44.362,50.895,19.215,42.953,1
3126,16.478,-17.866,-49.99,-1.587,24.108,19.389,9.377,34.328,27.619,18.018,15.03,19.636,-177.318,-38.504,-49.088,0.023,-47.655,-35.854,-156.613,-55.045,42.446,0
